pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-09-30	Brown Dwarf Formation through Gravitational Collapse: Insights from 3D Numerical Simulations	The Astrophysical Journal Letters	This paper presents the first 3D simulated Brown Dwarfs, formed through an isolated gravitational collapse.	Adnan Ali Ahmad et al 2025 ApJL 991 L32	Brown-Dwarf	https://iopscience.iop.org/article/10.3847/2041-8213/ae0640	https://iopscience.iop.org/article/10.3847/2041-8213/ae0640
2025-10-07	Turn up the light: Radiative efficiency of protostars at birth	Astronomy & Astrophysics	This letter discuses the radiative efficiency of protostars at birth.	Asmita Bhandare, Adnan Ali Ahmad and Benoît Commerçon A&A, 702 (2025) L7	radiative-efficiency	https://www.aanda.org/articles/aa/full_html/2025/10/aa56128-25/aa56128-25.html	https://www.aanda.org/articles/aa/full_html/2025/10/aa56128-25/aa56128-25.html
